before,dragon_rider,after,length,color
PBPBPB,PPPPPBPPPPPP,BBPPBP,11,P
BBPPBB,PPPPPBPPPPP,BBBPBP,10,P
PBBPBP,BBBBBBBBPPBBBBB,PPBPPB,13,B
BPBBPB,PPPPPPBBPPPPP,BBPPPB,11,P
BPBBPB,PPPPPPBBPPPPP,BBPPPB,11,P
PBPBPB,PPPPPBBPPPPPP,BBBPPP,11,P
PPBPBB,PPPPPBPPPPP,BPBBBP,10,P
PPBPBB,PPPPPBPPPPP,BPBBBP,10,P
PBPBPB,PPPPPPPBBPPPPP,BBPPBP,12,P
BBPPPP,BBBBBPBBBBB,PBPBPB,10,B
PBPPBP,BBBBBBBBBPPBBBBB,PPBBPB,14,B
BBBBBB,PPPPPBPPPPPPP,BPPBPP,12,P
BBPPPP,BBBBBPBBBBB,PPBPBP,10,B
PBPBPP,BBBBBPPBBBBBBB,PBPBPP,12,B
PBPBBP,BBBBBPPBBBBB,PPBPBP,10,B
BBBBPP,BBBBBPPBBBBB,PBPPBB,10,B
PBBBBP,BBBBBBPBBBBBBBB,PBPPPB,14,B
BPPBBB,PPPPPBPPPPPP,BPPPPB,11,P
PBBPBP,BBBBBPBBBBB,PBBBBP,10,B
PBBPBP,BBBBBPBBBBB,PBBBBP,10,B
PBBPBP,BBBBBPBBBBB,PBBBBP,10,B
PPBBPB,PPPPPBPPPPPPP,BPPPBB,12,P
PPBBPB,PPPPPBPPPPPPP,BPPPBB,12,P
BPBPPP,BBBBBBPBBBBB,PPPPPP,11,B
BPBPPP,BBBBBBPBBBBB,PPPPPP,11,B
BPPBPP,BBBBBBBBPBBBBB,PBBBBP,13,B
BBPBBP,BBBBBBBPBBBBBBBBBBB,PBPPBB,18,B
BBPBBP,BBBBBBBPBBBBBBBBBBB,PBPPBB,18,B
BBBBBB,PPPPPPPBPPPPP,BPBPBP,12,P
BBPPPP,BBBBBPBBBBBBBBBB,PBBBBB,15,B
BPBBBP,BBBBBBBPPBBBBBBBBB,PBPPBB,16,B
PBBPPB,PPPPPPBPPPPP,BBBBPB,11,P
BPPPBP,BBBBBBPPBBBBB,PBPBBB,11,B
BPBPPB,PPPPPBBBPPPPP,BPPBBP,10,P
BPBBPP,BBBBBPBBBBB,PBPBPP,10,B
PPBPBB,PPPPPPBBPPPPP,BBBBPB,11,P
BPPBPP,BBBBBPPBBBBBBBB,PPBBBB,13,B
PBBBPP,BBBBBBPBBBBBB,PPBBBP,12,B
BBPBPP,BBBBBBBPPBBBBBB,PPBPPP,13,B
BBBPBB,PPPPPBPPPPP,BBBBPB,10,P
BBPPPP,BBBBBBPBBBBBB,PBPPBP,12,B
BPPPBP,BBBBBPBBBBB,PPBPBB,10,B
PPPBBB,PPPPPBBPPPPPP,BPBPBB,11,P
PPBPPB,PPPPPBPPPPPP,BBBPPB,11,P
PPBPPB,PPPPPBPPPPPP,BBBPPB,11,P
PPBPPB,PPPPPBPPPPPP,BBBPPB,11,P
PPBPPB,PPPPPBPPPPPP,BBBPPB,11,P
PBPPBB,PPPPPPBBBPPPPPPPPPPP,BPPPBP,17,P
BBPBBB,PPPPPBBBPPPPP,BBBPPB,10,P
BBPPPB,PPPPPPPPBPPPPP,BBBBPB,13,P
BBPPPB,PPPPPPPPBPPPPP,BBBBPB,13,P
BBPPPB,PPPPPPPPBPPPPP,BBBBPB,13,P
BBPPPB,PPPPPPPPBPPPPP,BBBBPB,13,P
PPBPBB,PPPPPBPPPPPPPPP,BPBBPP,14,P
PPPBPB,PPPPPBPPPPP,BPBBBP,10,P
PBPBBB,PPPPPBBPPPPPPPPP,BBPPBP,14,P
BPPPBB,PPPPPPBBBPPPPP,BBBPPB,11,P
BPPPPP,BBBBBBPPBBBBB,PPPPPB,11,B
BPPPPP,BBBBBBPPBBBBB,PPPPPB,11,B
BPPPPP,BBBBBBPPBBBBB,PPPPPB,11,B
BBPBBP,BBBBBPPBBBBBB,PPPPBB,11,B
BBPBBP,BBBBBPPBBBBBB,PPPPBB,11,B
BBBPBP,BBBBBBBPPBBBBB,PPPBPP,12,B
PBPPBB,PPPPPPPPPPBBPPPPPP,BBPBPB,16,P
PBPBPB,PPPPPPBPPPPP,BPPPPB,11,P
BBPPPB,PPPPPPBBBPPPPP,BPBPBP,11,P
BPBPBB,PPPPPBBPPPPP,BPPBBP,10,P
BPBPPB,PPPPPBPPPPP,BBPBBP,10,P
BPBBBP,BBBBBPBBBBB,PBPBPP,10,B
BBBBPP,BBBBBPBBBBBBB,PPPPBB,12,B
PBPBBB,PPPPPPPBPPPPPP,BBBPPB,13,P
BPBPPB,PPPPPPPBBPPPPPP,BBBBPP,13,P
BPPPBB,PPPPPPBPPPPP,BBPPBB,11,P
PBBPPB,PPPPPPBBBPPPPPP,BPBPPB,12,P
PBBPBB,PPPPPBPPPPPPP,BBPBBB,12,P
BBPPBP,BBBBBBBBPBBBBB,PBPBBP,13,B
PPBBBP,BBBBBBPPBBBBBB,PPPBBP,12,B
BPBPPP,BBBBBBBPPPBBBBB,PBPBBB,12,B
PPPBBB,PPPPPPBPPPPP,BPBPBB,11,P
PBPPBB,PPPPPPBPPPPPPP,BPBPPB,13,P
PBPPBP,BBBBBBPBBBBB,PPPPPB,11,B
BPBPBB,PPPPPPPBPPPPP,BPPBPP,12,P
BPPPPP,BBBBBPBBBBB,PPPBPB,10,B
PPPPBP,BBBBBPPPBBBBBBB,PBBPPP,12,B
PBPBBP,BBBBBBBPPBBBBB,PBBPPP,12,B
BPPPBB,PPPPPBPPPPP,BBBPBP,10,P
PBBBPP,BBBBBPPBBBBBBBB,PPBBPP,13,B
PPPPPP,BBBBBBBBBBPPPBBBBBBB,PBBPBP,17,B
BBPPBP,BBBBBBPPPBBBBBBBBB,PBPBPB,15,B
PBBPBB,PPPPPPPBPPPPPP,BBBBPP,13,P
BBPPPB,PPPPPPBBPPPPPP,BPPBBB,12,P
PBBPPP,BBBBBBPBBBBBBBBBBB,PPBBPB,17,B
PPBBBP,BBBBBPPPBBBBB,PPPBPP,10,B
PBBBBP,BBBBBPPPBBBBB,PPBBBP,10,B
BPPPBP,BBBBBPBBBBB,PPPPPB,10,B
BPBBPP,BBBBBPBBBBB,PPPPPP,10,B
BPPPBP,BBBBBPBBBBBBBBBBBBBB,PPBBBB,19,B
BPPPPP,BBBBBPBBBBBB,PBBPBB,11,B
PBBPBP,BBBBBPBBBBBBBB,PPBPBB,13,B
BPBPBB,PPPPPPPPBBBPPPPP,BBBBPP,13,P
PBBPBP,BBBBBPBBBBBBB,PPPBPP,12,B
BBPPBP,BBBBBPBBBBB,PBPBPB,10,B
PBBPBP,BBBBBPBBBBBB,PBBBPP,11,B
PBPPBB,PPPPPPPBBBPPPPPP,BBBPPB,13,P
PBPPBP,BBBBBBPPPBBBBB,PBPPPP,11,B
BPPBPP,BBBBBBPPBBBBB,PPPBBP,11,B
BPBPBP,BBBBBPBBBBBB,PPBPPB,11,B
BBPBBP,BBBBBPBBBBB,PBPPBB,10,B
PBPPBP,BBBBBBPPBBBBBBBBB,PBPPBB,15,B
PPPPPP,BBBBBPPBBBBB,PPBPBP,10,B
PBBBPP,BBBBBPBBBBBB,PBBBPB,11,B
PBBBPP,BBBBBBPBBBBB,PPBPBB,11,B
PBBBPP,BBBBBPBBBBB,PBPPPP,10,B
PBPPPP,BBBBBBBPPBBBBB,PBBBBP,12,B
PBPBPB,PPPPPPBPPPPP,BBPPPB,11,P
BBBPBB,PPPPPPBPPPPP,BBPPBB,11,P
BPBPBB,PPPPPBPPPPPPPP,BPPPPP,13,P
BBPPPP,BBBBBBPBBBBB,PPBBPB,11,B
PPBPPB,PPPPPPBPPPPPP,BBPPPB,12,P
PBPBBP,BBBBBPBBBBB,PPPBPP,10,B
PBPBPP,BBBBBBBBPPPBBBBBBB,PBPBPB,15,B
BPPBPB,PPPPPBPPPPP,BBPBPB,10,P
BPBPPP,BBBBBBBPBBBBB,PBBBPP,12,B
BBPPBB,PPPPPPPBPPPPP,BBBBPP,12,P
BPBBPP,BBBBBBBBBBPPBBBBBBB,PBPBBP,17,B
BPPBBP,BBBBBPBBBBBBB,PPPBBP,12,B
BBBPPB,PPPPPPPBPPPPP,BPPBBB,12,P
PBPBPB,PPPPPPBBBPPPPP,BPBBBP,11,P
PPBPPP,BBBBBBPBBBBBBB,PPBBPP,13,B
PBPBPB,PPPPPBPPPPPPP,BBPPPP,12,P
PBBBPP,BBBBBBBBBBPBBBBB,PPBPBB,15,B
BPBBPP,BBBBBBBPPBBBBB,PPBPBP,12,B
PBPBBP,BBBBBBPBBBBB,PPPPBB,11,B
BBPPPB,PPPPPBBBPPPPPP,BBBPBP,11,P
PPPPBP,BBBBBPBBBBB,PBPPBP,10,B
PBBBPP,BBBBBPBBBBBBB,PPBPPB,12,B
BBBPPB,PPPPPPPPPBPPPPP,BPPBBB,14,P
PBPPBB,PPPPPBBPPPPPP,BPBPPB,11,P
PBPBBB,PPPPPPBPPPPPP,BPPPPP,12,P
PPBPPB,PPPPPPBPPPPPPPP,BPPPPP,14,P
BBPBPB,PPPPPBPPPPPP,BPBBPP,11,P
BPBBBP,BBBBBPBBBBBBB,PPPBPP,12,B
PBBPPP,BBBBBBPPBBBBB,PBPBBB,11,B
BBBPPB,PPPPPPPPPPPBPPPPP,BBBBBP,16,P
BBPPBB,PPPPPBPPPPP,BPPPPB,10,P
PPBBBB,PPPPPBPPPPPPPP,BPPPBP,13,P
PBPBPB,PPPPPPBPPPPPP,BBBPPB,12,P
PPBBPP,BBBBBBBPBBBBBB,PBPBPB,13,B
BPPBBB,PPPPPBBPPPPP,BBBBPB,10,P
BPPPBB,PPPPPBPPPPP,BPPPBB,10,P
BBPPBP,BBBBBBPPBBBBBBB,PPPBPP,13,B
BPBPBB,PPPPPBPPPPPPP,BPPPBP,12,P
BPBBBP,BBBBBBPBBBBB,PBBBPB,11,B
PBPBBP,BBBBBBBPPBBBBBBB,PPPBBP,14,B
PPBPBP,BBBBBBBBBPPBBBBBBBB,PPPPPB,17,B
PBBPPB,PPPPPBBPPPPP,BBPPPP,10,P
BBPBBB,PPPPPPBPPPPP,BBPPPB,11,P
BBPBPP,BBBBBPBBBBB,PBPBPP,10,B
BBBPPB,PPPPPBBPPPPP,BBPPBB,10,P
PBPBBP,BBBBBPPBBBBBB,PBPBPB,11,B
PBBBPP,BBBBBBBBBPBBBBB,PPPBPP,14,B
BPBPPP,BBBBBBPBBBBB,PBPBBP,11,B
BBPPPP,BBBBBPBBBBB,PBPBPB,10,B
PBPPPP,BBBBBPBBBBB,PPBBPB,10,B
BPBPPB,PPPPPPPPPPPBPPPPP,BBPPBP,16,P
BPPBPB,PPPPPPPBPPPPPP,BPBPPB,13,P
BPPPBB,PPPPPBBBPPPPPPPPPPPP,BBPPPB,17,P
PBPBBP,BBBBBBBPBBBBBBBB,PPBBBB,15,B
BBPPPP,BBBBBBPBBBBB,PBBBPB,11,B
PPBBBP,BBBBBPBBBBBB,PBBBPP,11,B
PBPPBP,BBBBBBPPPBBBBBBBBB,PBBBBP,15,B
BPBPBB,PPPPPBBPPPPP,BPBBBP,10,P
BBPBBP,BBBBBPPPBBBBB,PPPPPP,10,B
BPPPBB,PPPPPPBBPPPPP,BPPBBB,11,P
BBPPPP,BBBBBBBPBBBBBB,PBBPPP,13,B
PBPPPP,BBBBBBPBBBBB,PPBBPB,11,B
PBBBPP,BBBBBBBBPPBBBBBBBBB,PBPBPP,17,B
BBPBPP,BBBBBBPPBBBBBB,PBBPPP,12,B
BBPBPP,BBBBBBPPBBBBBB,PBBPPP,12,B
PBPPBB,PPPPPPPPBBBPPPPPP,BBBBBP,14,P
BBBBPB,PPPPPPPPBBBPPPPP,BBBPPB,13,P
PPPBBP,BBBBBPPPBBBBBB,PBPPPP,11,B
PPPBPP,BBBBBPBBBBBB,PPPPPB,11,B
PPPBPP,BBBBBPBBBBBB,PPPPPB,11,B
PPPBPP,BBBBBPBBBBBB,PPPPPB,11,B
PBBPPB,PPPPPPPBPPPPPP,BBBPPB,13,P
BBBPBB,PPPPPBPPPPPP,BPPBPP,11,P
BBBPBB,PPPPPBPPPPPP,BPPBPP,11,P
PPBPPB,PPPPPPBPPPPPPP,BBBBPP,13,P
BPPBPP,BBBBBPBBBBBB,PBBBBP,11,B
PPBPBP,BBBBBPBBBBBB,PPBPBP,11,B
BBPBBB,PPPPPPPPBPPPPP,BBBBBP,13,P
BBBPPP,BBBBBBBBPPPBBBBB,PBPBBB,13,B
PPPPBP,BBBBBBPBBBBBBB,PPPBPB,13,B
PPPBBP,BBBBBPBBBBBBBB,PBPBBP,13,B
PPBPPB,PPPPPBPPPPP,BPBPBP,10,P
PPPBBB,PPPPPBPPPPPP,BPPBPP,11,P
PBPBBP,BBBBBPBBBBB,PBPPBB,10,B
PBBPPP,BBBBBPPBBBBBBBBB,PBPPBB,14,B
PPPBPP,BBBBBBPBBBBB,PBBPBB,11,B
PPPBPP,BBBBBBPBBBBB,PBBPBB,11,B
PBPPBP,BBBBBPBBBBBBB,PBBBBB,12,B
PPBPBB,PPPPPBBPPPPP,BBPBBP,10,P
BBBBPB,PPPPPPPBPPPPPPPPP,BBPBPB,16,P
PPPPBP,BBBBBPBBBBB,PBBPPP,10,B
BBPPPB,PPPPPBPPPPP,BBBBPB,10,P
PBPPBB,PPPPPPPPBPPPPPP,BBBPBP,14,P
PPPBBB,PPPPPBBBPPPPP,BPBPPP,10,P
PBPPPP,BBBBBBPPBBBBBB,PBBPPB,12,B
PBBPPP,BBBBBPBBBBBBBBB,PBBBBB,14,B
PPPBPP,BBBBBPPBBBBB,PPBPPP,10,B
BPPBBP,BBBBBBBBPBBBBB,PPPPPP,13,B
PPPPPP,BBBBBBPPBBBBBBBB,PBPPBP,14,B
BPPPBP,BBBBBPPBBBBB,PPBPPP,10,B
BBBPBB,PPPPPPBPPPPP,BBPPBP,11,P
PBBBBP,BBBBBPBBBBBB,PBPBPB,11,B
PBBBBP,BBBBBPBBBBBB,PBPBPB,11,B
BPBBBP,BBBBBPPBBBBB,PPBBBB,10,B
PPBBBB,PPPPPBBPPPPPP,BPBPBP,11,P
PPBPBB,PPPPPBBBPPPPPPP,BPBPPP,12,P
PPPBBB,PPPPPPPBPPPPPP,BBBBPB,13,P
BBBPPP,BBBBBBPBBBBBBBBBB,PPBPBP,16,B
BPBBPB,PPPPPBPPPPPP,BPBPPP,11,P
BBBPPB,PPPPPBPPPPP,BPPPBP,10,P
BPPPPB,PPPPPBBPPPPPPPP,BPPBBP,13,P
PBPPPP,BBBBBPBBBBB,PPBBPP,10,B
PPBPBP,BBBBBBBBBBBPPBBBBB,PBBBBP,16,B
PPBBPP,BBBBBBBPBBBBB,PPPBBB,12,B
BBPPPB,PPPPPBBPPPPPPPP,BBPPPB,13,P
BBBBPB,PPPPPBBPPPPPP,BBBPPB,11,P
BBBBPB,PPPPPBBPPPPPP,BBBPPB,11,P
BBPPBB,PPPPPPBPPPPPPPPPPP,BBBBPP,17,P
BBBPPP,BBBBBPBBBBBBBB,PBBPBB,13,B
BPBBPP,BBBBBPBBBBB,PBBPPP,10,B
BPBPPB,PPPPPBBBPPPPP,BPPBPB,10,P
PBBPPP,BBBBBBPPBBBBB,PBBBBB,11,B
BBBPBB,PPPPPBBPPPPP,BBPBPB,10,P
BBBBBB,PPPPPBPPPPPPP,BBPBPB,12,P
BBPPPB,PPPPPBPPPPPPP,BPBPBP,12,P
PPPBPP,BBBBBPPBBBBB,PBBPPP,10,B
BPPPBB,PPPPPBPPPPP,BBBBPP,10,P
PPPPBP,BBBBBBPBBBBBBBBBBB,PBPPBP,17,B
PPPPBP,BBBBBBBPBBBBBB,PBBBBB,13,B
BPPPBP,BBBBBPBBBBB,PBPPPB,10,B
BPPBPB,PPPPPPBBBPPPPP,BPBPPP,11,P
PBPPBB,PPPPPBPPPPP,BPPBPB,10,P
BBBPPP,BBBBBBPPBBBBB,PPPBPB,11,B
BBBPPP,BBBBBBPPBBBBB,PPPBPB,11,B
PBBPBP,BBBBBBPBBBBB,PBBPBP,11,B
PPBBBP,BBBBBBBPBBBBBBB,PPBBPB,14,B
PPBBBP,BBBBBBBPBBBBBBB,PPBBPB,14,B
PBPBPB,PPPPPPPPBBBPPPPPP,BBPPPP,14,P
PPBBBB,PPPPPPPPBBPPPPP,BBBPPB,13,P
BPBPBP,BBBBBBBBPBBBBBBBB,PBPPBB,16,B
BBPBBP,BBBBBBBPPBBBBB,PPPPBP,12,B
PBBBPB,PPPPPPBBBPPPPPP,BPBPBP,12,P
PBPPBP,BBBBBPPBBBBB,PPBPBB,10,B
PBBBPP,BBBBBPPPBBBBBB,PPPPBB,11,B
PBBBBB,PPPPPPPPBPPPPPPP,BBPPBB,15,P
BBBPPB,PPPPPPPBPPPPP,BPPPPP,12,P
PBPPPP,BBBBBBBPBBBBB,PPPBBP,12,B
BPPPPP,BBBBBPPBBBBBBB,PPPBPB,12,B
BBPPBP,BBBBBPBBBBB,PBPPBB,10,B
BBBPPB,PPPPPBPPPPPPPP,BPPPBP,13,P
PPBBBB,PPPPPBPPPPP,BPBBPP,10,P
PBPBPB,PPPPPBBPPPPP,BBPPPB,10,P
PBPBBB,PPPPPPPPPPPBPPPPPP,BBBPPP,17,P
PBPBPB,PPPPPBBPPPPP,BBBPPP,10,P
BBPPPP,BBBBBPBBBBBBB,PBBBPB,12,B
BPPPBB,PPPPPBBPPPPP,BPBBPB,10,P
BPPBBB,PPPPPBPPPPP,BPBBPB,10,P
BPPPBP,BBBBBBPPBBBBB,PPPBBP,11,B
BPBPPP,BBBBBBPBBBBB,PPBBBB,11,B
BPBPPB,PPPPPPBPPPPPP,BBPPBP,12,P
BPBPPP,BBBBBPBBBBBBB,PPBBBP,12,B
BPBPPP,BBBBBPBBBBBBB,PPBBBP,12,B
PPBPBP,BBBBBPBBBBB,PPBBBP,10,B
PPBPBP,BBBBBPBBBBB,PPBBBP,10,B
BBPBPB,PPPPPPPPPBBPPPPPPP,BPPPPP,16,P
BBPPBP,BBBBBBBBBBPBBBBBBBBB,PBPPPP,19,B
PPPPBP,BBBBBPBBBBB,PBBBPB,10,B
PPBBBP,BBBBBBBPPBBBBBB,PPPBPB,13,B
BBPBPP,BBBBBPBBBBB,PBBBPB,10,B
PPPBBB,PPPPPPBBBPPPPPP,BPPBPP,12,P
PBBPBP,BBBBBPPPBBBBB,PBBPBB,10,B
PBPBBP,BBBBBPBBBBB,PPPPPP,10,B
PPPBBP,BBBBBBBBBBPPBBBBB,PBBBBP,15,B
PPPBPB,PPPPPPPBPPPPP,BPPBPP,12,P
PPPBPP,BBBBBBBPBBBBB,PBBPBB,12,B
PPBBBB,PPPPPBPPPPPPPPPP,BPBPBP,15,P
BPPBPP,BBBBBBPPBBBBB,PBPBBP,11,B
BBBBBB,PPPPPBPPPPP,BPBBPP,10,P
PBPPBP,BBBBBBBPBBBBB,PBPBPB,12,B
PPPPBP,BBBBBPPBBBBBB,PPPBPP,11,B
PBPBBB,PPPPPPPBPPPPP,BBPBBP,12,P
PPPPBP,BBBBBPBBBBBB,PPPBBB,11,B
BPBPPP,BBBBBPBBBBB,PBBBPP,10,B
BBPPPP,BBBBBPBBBBBBB,PBPPPP,12,B
PPPBBP,BBBBBBBBBBPPBBBBB,PBBBPP,15,B
BPBBPP,BBBBBPBBBBBB,PBPPBP,11,B
PBPPPB,PPPPPBPPPPPP,BPBBPB,11,P
BPBBPB,PPPPPPBPPPPPPPP,BPPPPP,14,P
BPBBBP,BBBBBPBBBBBBB,PBBBBP,12,B
PBPBPB,PPPPPPBBBPPPPP,BPBBBB,11,P
BBBPPB,PPPPPPBPPPPPP,BPBBPP,12,P
PPBBPB,PPPPPPBBPPPPP,BBBBPP,11,P
BPPBPP,BBBBBBBPBBBBB,PPPBPB,12,B
BBPPBP,BBBBBBBPPBBBBBB,PBPBPB,13,B
PBPPBP,BBBBBBPBBBBB,PPBBPP,11,B
PBPBPB,PPPPPBPPPPPPP,BBBPBP,12,P
BPBBBB,PPPPPPPBPPPPP,BPBPBB,12,P
BBBPBB,PPPPPPBPPPPPPPP,BBBBPB,14,P
PBPPBB,PPPPPBPPPPP,BPPPBB,10,P
PPBPBB,PPPPPBPPPPP,BBBPBP,10,P
BBPBBP,BBBBBPBBBBBBB,PBBPPP,12,B
PPBBPP,BBBBBPPBBBBBB,PPPPPB,11,B
PPPBBP,BBBBBBPPPBBBBBBB,PPPPPP,13,B
BPPPBP,BBBBBPPBBBBB,PBPPBB,10,B
BBPPBP,BBBBBBPBBBBB,PBBBPP,11,B
PBPPPP,BBBBBPBBBBBB,PPBBPP,11,B
PPPPPP,BBBBBBPBBBBBB,PPPPBP,12,B
PBPPPB,PPPPPBPPPPPP,BBPPPP,11,P
PPPPPP,BBBBBPBBBBB,PBBPPB,10,B
BPBBPP,BBBBBBBBPBBBBBBBB,PPPBBP,16,B
BBBPPB,PPPPPBPPPPPP,BPPPPP,11,P
BPBPPP,BBBBBPBBBBBBBB,PPBBPB,13,B
PPBBBP,BBBBBPBBBBB,PPPPBB,10,B
BPPBPB,PPPPPBBPPPPPP,BPPPPP,11,P
PPBPPP,BBBBBBBBBBPPPBBBBB,PBBPPB,15,B
PBBPPP,BBBBBPPBBBBB,PPBBPP,10,B
PPBPPB,PPPPPBBPPPPP,BBBPBB,10,P
PPBBBP,BBBBBPPBBBBB,PBBBBP,10,B
BBBPBP,BBBBBBBPBBBBBB,PBPPPP,13,B
BPBBBP,BBBBBPBBBBB,PBBPBP,10,B
PBBPPB,PPPPPPBBPPPPP,BPBBPP,11,P
BBBBPP,BBBBBBPBBBBBB,PPBPBB,12,B
PPBBPP,BBBBBBPPBBBBB,PBPBBB,11,B
BPPPPP,BBBBBBBBBPPPBBBBBB,PPPBPB,15,B
BPPPPP,BBBBBBBBBPPPBBBBBB,PPPBPB,15,B
PPBBPP,BBBBBBBBBBPBBBBBBBBBBBBBBBB,PPPBBB,26,B
PPBBPP,BBBBBBBBBBPBBBBBBBBBBBBBBBB,PPPBBB,26,B
BPBPPP,BBBBBPPBBBBB,PBBBBP,10,B
PBBPPP,BBBBBPPPBBBBB,PBPBPP,10,B
PBBPPP,BBBBBPPPBBBBB,PBPBPP,10,B
PPBBBP,BBBBBBPBBBBB,PPPPPP,11,B
BBBPBB,PPPPPPBBPPPPP,BPBBPP,11,P
PBPBPP,BBBBBPBBBBBBB,PBPPPP,12,B
BPPPBP,BBBBBPPPBBBBB,PPBBPB,10,B
PPBPPB,PPPPPPPBBPPPPPP,BPPPPP,13,P
BPBPPP,BBBBBPBBBBBBBB,PPPPPP,13,B
BPBPBP,BBBBBBPPPBBBBBBB,PBBPPB,13,B
BBPPPB,PPPPPPBBBPPPPP,BBPBBB,11,P
BPBPBP,BBBBBBPPBBBBBBB,PPBPPP,13,B
BBBBPP,BBBBBPBBBBB,PBBBBP,10,B
BBBPBB,PPPPPPPBPPPPPPPP,BPBBBB,15,P
BPBBBP,BBBBBPBBBBB,PPPPBB,10,B
PPBBBB,PPPPPPBPPPPP,BBBBBB,11,P
BPBBPB,PPPPPPBBBPPPPP,BBPBBB,11,P
BBPBPP,BBBBBBBBPBBBBB,PBPBPP,13,B
PPBPPB,PPPPPBPPPPP,BBPPBB,10,P
PBBPBP,BBBBBBPBBBBB,PBBPBP,11,B
BPBBPP,BBBBBBPBBBBBBB,PPBPBB,13,B
PPBBPP,BBBBBBPBBBBBBB,PPBPBP,13,B
PBBPPP,BBBBBPBBBBBB,PBBBPP,11,B
BBPPPP,BBBBBBBPPBBBBB,PPPPBP,12,B
PPBBPP,BBBBBPBBBBB,PBBBBP,10,B
BPPPBP,BBBBBPPBBBBB,PPBPPB,10,B
PBPPBP,BBBBBPPBBBBBBBBBBB,PBPPBB,16,B
PBPPBB,PPPPPPBPPPPPP,BBPPBB,12,P
PPBBPB,PPPPPPBPPPPPPP,BBBPBP,13,P
PBPBPP,BBBBBPPBBBBBBB,PBPPPB,12,B
PBPPPB,PPPPPPBPPPPPP,BBPBBB,12,P
PBBPBB,PPPPPPPPPBBPPPPP,BPBPPB,14,P
PBPBPP,BBBBBPBBBBBB,PBPPBP,11,B
PPPBBP,BBBBBPBBBBBB,PBBPBP,11,B
BBPBPB,PPPPPBPPPPP,BPBBBB,10,P
PPBPPB,PPPPPPBBBPPPPPPPP,BBBBBB,14,P
BPPPBP,BBBBBPPBBBBB,PPPBPP,10,B
PPBPBB,PPPPPPBPPPPPPPPPPPP,BPBPBB,18,P
BPPPPP,BBBBBPBBBBB,PPBBPP,10,B
BBBPBP,BBBBBPBBBBBB,PBBPPB,11,B
PPBPBB,PPPPPBBPPPPP,BPBPBB,10,P
PBPBPP,BBBBBPPBBBBB,PBPPPB,10,B
BBPPPB,PPPPPPPPPPPBPPPPPPPP,BBBBBP,19,P
PPPBBP,BBBBBBBBBPPBBBBB,PBBPPP,14,B
BPBBPB,PPPPPPBPPPPPP,BBBBBP,12,P
BBBBBB,PPPPPBBBPPPPP,BBBBPP,10,P
BPPBPP,BBBBBBPPPBBBBB,PPBPBB,11,B
PBBPBP,BBBBBBPBBBBB,PPBPPP,11,B
PPBBBB,PPPPPPBPPPPPPPPPP,BBBBPB,16,P
BBPPPP,BBBBBPBBBBB,PBBPPB,10,B
BPBBBP,BBBBBBPBBBBBBBBBB,PPBPBP,16,B
PPPPBB,PPPPPPBPPPPP,BPPBPP,11,P
PBBPPP,BBBBBPBBBBB,PBBBBP,10,B
PPPPBP,BBBBBBPPBBBBB,PPPBPP,11,B
PBPPPP,BBBBBBBPPPBBBBBBBB,PBBPBB,15,B
PPBBBP,BBBBBPPBBBBBB,PPPBPB,11,B
PBPBPB,PPPPPPPPBBPPPPP,BBBBBB,13,P
BPBBBP,BBBBBPPPBBBBB,PPBBBB,10,B
BPPPPB,PPPPPPPBPPPPP,BBBBPB,12,P
BPPBBB,PPPPPBBPPPPPPP,BBPBBB,12,P
BPPBBB,PPPPPBBPPPPPPP,BBPBBB,12,P
BPBPPP,BBBBBPBBBBBB,PPBBBB,11,B
BBPPPP,BBBBBBBBBBPBBBBBB,PPBPPB,16,B
BPBBPB,PPPPPBBBPPPPPPPPP,BBPBPB,14,P
BBPBPP,BBBBBBPPBBBBBB,PPBPPB,12,B
BBPBBB,PPPPPPPPPBPPPPPP,BBPBBP,15,P
BBPBBB,PPPPPPPPPBPPPPPP,BBPBBP,15,P
PPBBPB,PPPPPBPPPPP,BBPBPB,10,P
PBBPBB,PPPPPBBPPPPP,BBBPBB,10,P
BBPBBB,PPPPPBBPPPPP,BPPBBB,10,P
PBPPBP,BBBBBPBBBBBBBBBBB,PBBPBB,16,B
BBPPPP,BBBBBPPBBBBB,PPPBBP,10,B
PBBBPP,BBBBBPBBBBBBBBBBB,PPPPPP,16,B
BBPPPP,BBBBBBBPBBBBB,PPBPPP,12,B
PBBBPP,BBBBBPBBBBB,PBBBBB,10,B
PPPPPP,BBBBBBPBBBBB,PPBBPB,11,B
PPPPBP,BBBBBPBBBBB,PBBBPP,10,B
PBPBBB,PPPPPPPBPPPPPP,BPPBBB,13,P
BBPPBB,PPPPPBBBPPPPPPP,BBPPPB,12,P
PPBBPP,BBBBBPPBBBBBB,PBBBBP,11,B
PBBPBP,BBBBBBPPPBBBBB,PPPBPB,11,B
PBBPPP,BBBBBBBBBBPPBBBBBB,PBPBPB,16,B
BPPBBP,BBBBBBPPPBBBBB,PPPBBP,11,B
BPBPPP,BBBBBPPPBBBBB,PBBPBB,10,B
BBBBPP,BBBBBBBBPBBBBBB,PPBBPB,14,B
PBPBBP,BBBBBPPBBBBBB,PPPBBB,11,B
BBPBBB,PPPPPBPPPPP,BBPBBB,10,P
PPPBPB,PPPPPBPPPPP,BBPBPB,10,P
