before,dragon_rider,after,length,color
BPBPPB,PPPPPBPPPPPP,BBBPBB,11,P
BPBBPB,PPPPPPBPPPPPP,BPPBPB,12,P
PPPBPB,PPPPPPPPBBBPPPPP,BBPBBP,13,P
PPPPPP,BBBBBBBBBPBBBBBBBBBBB,PBPPBP,20,B
BPBBBB,PPPPPBBPPPPPPP,BBPPBP,12,P
PBBPPP,BBBBBPBBBBB,PPBPBB,10,B
PBPPPB,PPPPPPPBPPPPPPP,BBBPBB,14,P
PPBBBB,PPPPPBPPPPPPP,BBBBPP,12,P
PBPPPB,PPPPPBBPPPPPPP,BBPPPP,12,P
BBPPPB,PPPPPBBPPPPPPPP,BBBBPB,13,P
PPPBBP,BBBBBBPPPBBBBB,PBPPBP,11,B
BBBPBB,PPPPPBPPPPPPPPPP,BPBPPP,15,P
PPPBBB,PPPPPBBPPPPP,BBBBBP,10,P
BBPPBP,BBBBBBPPBBBBB,PBBBBB,11,B
PPBBBB,PPPPPBBPPPPP,BBBBPP,10,P
BPBPBP,BBBBBBBPBBBBBB,PBPPPP,13,B
BPBBPB,PPPPPBBBPPPPPPPPP,BBBBBP,14,P
PPPBBP,BBBBBPPBBBBB,PBBPBP,10,B
BPBBBP,BBBBBPPBBBBBBBB,PBBPPP,13,B
PPBBBP,BBBBBBBPPBBBBBB,PPBPBP,13,B
PBBPPB,PPPPPBBPPPPPP,BBPBBP,11,P
PPPBBP,BBBBBPPPBBBBBB,PPBBPP,11,B
PBPPPB,PPPPPBBBPPPPPP,BBPBBP,11,P
PBPBBP,BBBBBPBBBBBB,PPPPBB,11,B
BPBPPB,PPPPPBPPPPP,BBBBPP,10,P
BPPPBP,BBBBBPBBBBB,PBPBPP,10,B
PBBBPB,PPPPPPBBPPPPPP,BPBBBB,12,P
PPBBPP,BBBBBBBPPBBBBBBB,PBBBPP,14,B
PBPBPP,BBBBBPBBBBB,PPBPBB,10,B
PPBPBP,BBBBBBPBBBBB,PPPPBP,11,B
BBBBPB,PPPPPPPBPPPPP,BBPPBB,12,P
PPBBBP,BBBBBPBBBBBBB,PPPBPP,12,B
BPBBPP,BBBBBBBBPBBBBB,PBPPBP,13,B
BPPBBB,PPPPPPPPBBPPPPP,BPPBPB,13,P
PPBPBB,PPPPPPBPPPPP,BBBPPB,11,P
