before,pingpong_tie,after,length,tie_position
PBTBTB,BPBPT,BPPBTB,5,56
BBPPPP,PBPBT,PPBPPP,5,45
BBPPBT,PBPBT,BBBBBB,5,57
TPBTBP,BPBPT,BTPBPP,5,13
PBPBBB,BPBPT,BPPBPB,5,29
PBPTBP,PBPBT,PBPTBB,5,36
TBBPBB,BPBPT,BBBPPP,5,35
PBPBBP,BPBPT,PPBPPB,5,54
PPBPBB,PBPBT,BBPBPB,5,45
TPBPPP,BPBPT,PPPPBT,5,20
BPPPBB,PBPBT,BBBPPT,5,28
BBPBPP,BPBPT,PBPBBB,5,46
PBBTBP,BPBPT,BBTBBB,5,34
PPBBPB,TPTPT,PBPPTP,5,54
BPPPPP,PBPBT,BPTBBT,5,16
BBPBTB,BPBPT,PPBPBB,5,27
BBPBTP,BPBPT,TTBBBP,5,45
BPBPBP,PBPBT,BBPBBB,5,88
BPPBPT,BPBPT,PPTBPP,5,45
BPBBTB,PBPBT,PPPBBP,5,37
PPBBPB,PBPBT,PPPBBB,5,49
BPBPPP,PBPBT,BPBPBB,5,21
PPPBPP,BPBPT,PBBBBB,5,39
PBBBBP,BPBPT,PPBPBB,5,41
PBPBBP,TBTBT,BPBPPT,5,53
BPTBBB,BPBPT,BBBPPP,5,24
BPPPPP,PBPBT,BTBBPP,5,45
PBBPPP,PBPBT,PPBPBP,5,39
PBTPPB,PBPBT,BPPBPP,5,47
PBPBBB,PBPBT,BBBPPP,5,18
PPPPPP,PBPBT,BPPPTB,5,36
BPPBPB,BPBPT,BTBPBP,5,48
BPPBBP,BPBPT,PBBTPP,5,45
BBBBBB,PBPBT,PBTBPB,5,55
PBBPPB,BPBPT,PTBBPB,5,44
PPTPPT,PBPBT,BPBPPB,5,22
BBBTBP,BPBPT,PPBBPP,5,37
BBBPPB,PBPBT,TBBBPB,5,44
TBTPTP,BPBPT,BPBPPB,5,25
PTBPBP,PBPBT,BBBPBP,5,51
BPBBBB,BPBPT,PBPBPP,5,31
TPBBBP,TBTBT,PBPPPB,5,51
BPBPBB,PBPBT,BPPPPB,5,29
BBPPPT,PBPBT,TBTBPP,5,37
PBPBPP,PBPBT,PBTPPB,5,20
BTPPBP,BPBPT,PTPBPB,5,32
BPPTTB,BPBPT,BPTPTP,5,57
BBTTBB,PBPBT,PPBPPP,5,43
PTBBBB,BPBPT,PBBPBP,5,50
PPBPBB,PBPBT,TBBBPP,5,43
PTPPPB,PBPBT,BBPPPT,5,40
BBBPBB,PBPBT,PPPBBP,5,20
PPTBPP,BPBPT,PBBBBT,5,52
PBBPPT,PBPBT,PPPBPP,5,22
BPTBBP,BPBPT,PBBBPP,5,44
BBBPBP,BPBPT,BPBTBB,5,52
PPBBPB,PBPBT,PPPBPB,5,26
PBBTBB,BPBPT,PBPPBP,5,55
PBPPPB,PBPBT,BTPPPP,5,30
PBPPBB,BPBPT,BPTBBT,5,60
TPBBBB,PBPBT,BBPBBB,5,13
