before,bantai,after,pattern,direction
BPPPBB,PPPPBBP,BBBBBP,4-2-1,ลง
PPBBPB,PPPBBP,BBBPBB,3-2-1,ลง
BBPBPB,PPPPBBBPP,BPBPBB,4-3-2,ลง
BPPBBB,PPPPBBBP,BBBPPB,4-3-1,ลง
PBPPBB,PBBPPPPPP,BBBPPP,1-2-6,ขึ้น
BPBBPB,PBBBPPPPPP,BPPBPB,1-3-6,ขึ้น
PPBPPB,PBBPPPPPPP,BPPBBB,1-2-7,ขึ้น
PPPPPP,BPPBBB,PBPPPP,1-2-3,ขึ้น
PBBBPB,PPPPPPPBBP,BBBBBB,7-2-1,ลง
BPPBBP,BBBBPPPB,PBBPPB,4-3-1,ลง
PBBBPB,PBBPPP,BBBBPP,1-2-3,ขึ้น
BPPBBP,BBBBBBPPPPB,PBPBPB,6-4-1,ลง
PPPBBB,PPPBBP,BPPBPB,3-2-1,ลง
PBPPBB,PBBPPPPP,BBBPPP,1-2-5,ขึ้น
BPBBBP,BBBBBBBBBBPPPPB,PPBBPB,10-4-1,ลง
BPBBPB,PBBPPPPP,BBBBPP,1-2-5,ขึ้น
BBBPPP,BBBPPB,PBPPBP,3-2-1,ลง
PBBBBP,BBBPPB,PBPPBP,3-2-1,ลง
PPBPPB,PBBPPPP,BBBBBP,1-2-4,ขึ้น
BBBBBP,BPPBBB,PPBBBB,1-2-3,ขึ้น
PPPBPB,PPPPBBP,BBPBPP,4-2-1,ลง
BBPBBP,BPPBBBBBB,PPBBPP,1-2-6,ขึ้น
BBBPBP,BBBBPPPB,PPPBPB,4-3-1,ลง
PBPBBP,BBBPPB,PBBPPB,3-2-1,ลง
BPPBBP,BPPPBBBB,PBBPPP,1-3-4,ขึ้น
PPBBBB,PBBPPPP,BPBBPB,1-2-4,ขึ้น
BPPBBP,BBBBBBPPPPB,PBBBPB,6-4-1,ลง
PPBPBP,BBBBBPPPBB,PBBBBP,5-3-2,ลง
PPPBPB,PPPPBBP,BBBPBP,4-2-1,ลง
BBBPPP,BBPPPBBBBB,PBPBPP,2-3-5,ขึ้น
PPPPBP,BPPBBB,PPPPBB,1-2-3,ขึ้น
BPPBBB,PPPPBBBPP,BBBBBP,4-3-2,ลง
BBBBBP,BBBPPB,PPPPBB,3-2-1,ลง
BBBPPB,PPPPBBP,BPBBPB,4-2-1,ลง
BBPBPP,BPPBBBBBBB,PBBPPP,1-2-7,ขึ้น
BBBBBB,PBBPPPP,BBBBPB,1-2-4,ขึ้น
BBBBBP,BBBBBPPB,PPPPPB,5-2-1,ลง
BBBPPB,PPPPPBBBP,BPPBBB,5-3-1,ลง
PPBBBP,BPPBBB,PBBPBB,1-2-3,ขึ้น
BBPBBP,BBBPPB,PBPBBB,3-2-1,ลง
PBPBBP,BBBBBBBPPPB,PBPPBB,7-3-1,ลง
BPPPBP,BPPBBBBBB,PBBBBB,1-2-6,ขึ้น
PPBPBP,BBBPPB,PPPBPP,3-2-1,ลง
BBBBPB,PBBPPPPP,BBPBPP,1-2-5,ขึ้น
PBPBBP,BBBPPB,PPBBPP,3-2-1,ลง
PBPPBB,PPPBBP,BBPPBP,3-2-1,ลง
BPPPPB,PBBBPPPP,BBPPBB,1-3-4,ขึ้น
PBBPBP,BPPBBB,PPBBPP,1-2-3,ขึ้น
PPBBPP,BPPBBBB,PPPPBP,1-2-4,ขึ้น
PBBBPP,BBBBBBBPPB,PBBPBP,7-2-1,ลง
PBPPPB,PPPBBP,BBPBBB,3-2-1,ลง
